dimension,scale,nodes,clients,requests,ops_per_sec,avg_us,p50_us,p95_us,p99_us,max_us,hits,misses,errors
nodes,1,1,8,200000,10607.02,736,1000,2000,5000,643181,50530,109155,0
nodes,2,2,8,200000,8607.66,905,1000,2000,10000,683754,50482,109203,0
nodes,3,3,8,200000,15448.95,510,500,2000,5000,30307,50556,109129,0
nodes,4,4,8,200000,14060.35,558,500,2000,5000,315428,50568,109117,0
nodes,5,5,8,200000,13536.59,583,1000,2000,2000,174969,50547,109138,0
clients,10,3,10,200000,15667.85,628,1000,2000,2000,279130,50388,109391,0
clients,50,3,50,200000,24786.94,1993,2000,5000,10000,197281,107504,52313,0
clients,100,3,100,200000,24237.43,4046,5000,10000,20000,124729,128888,30846,0
clients,250,3,250,200000,24139.78,9894,10000,20000,50000,139967,139686,20133,0
clients,500,3,500,200000,22721.39,19154,20000,50000,50000,113015,147305,12907,0
clients,1000,3,1000,200000,21493.89,35518,50000,100000,200000,275241,150900,9066,0
